code;name;country;division_code;first_color;second_color
1724;Vigo;Spain;67;#A7EEFD;#E595AD
14209375;FADEP (Mza);Argentina;14037261;#EFE8E5;#E2D9D7
645;Derby;United Kingdom;12;#F4F4F4;#9D9C9C
2065;Thionville FC;France;20;#DFA920;#FAFAF9
43106569;Latte Dolce;Italy;1400406;#9BE0ED;#6AD3F5
5725176;Seefeld;Switzerland;137891;#DFDFDF;#1C1C1D
14064694;Américo Tesorieri;Argentina;14037261;#14ADEC;#EFF7F9
700693;Aglianese;Italy;1400404;#239823;#101D10
19295431;Atlético Patrocinense;Brazil;19127222;#CDA1A6;#EFE4E6
14031210;Guaraní Antonio Franco;Argentina;14037261;#F2F2F2;#989797
130795;Cobresal;Chile;5250792;#FCFC22;#E67717
879941;Horst-Emscher;Germany;8700660;#1111FE;#A1A1A7
14123527;Comercio Central Unidos;Argentina;14037263;#ED271A;#A02118
107234;Tuna Luso;Brazil;19102111;#95D1AD;#E8F0E5
109177;Emelec;Ecuador;80000566;#97B1CD;#6A97C8
70136200;73 Sirnak Bld.;Turkey;70084836;#90E6FB;#F3F5F5
463;Bohemians 1905;Czech Republic;131287;#10925B;#00702F
23387294;Gjilani;Kosovo;89056580;#F09E9A;#E6281E
130380;Sanliurfaspor;Turkey;463485;#63979A;#8EB3AF
14123473;San Basilio (ARG);Argentina;14037263;#33198A;#ACA4CD
59136074;Ararat-Armenia;Armenia;59006196;#EBEAEB;#99999A
309644;Mixto (MT);Brazil;19102111;#121011;#605F60
4212409;Rota;Spain;67023619;#ADB264;#EAEAE8
8700474;Großaspach;Germany;35010926;#FC515C;#0B0708
129657;Aigaleo;Greece;690094;#2295E4;#006AB9
35117237;Hiesfeld;Germany;8700660;#E1111B;#E8E8E9
814042;Alondras;Spain;67023610;#A79DA1;#DBD9D8
5740640;Macva;Serbia;132321;#FCEC5E;#F1F0F0
104386;Unión Magdalena;Colombia;5260948;#D898AC;#E3D0D6
5201786;Kelty Hearts;United Kingdom;61063387;#D79EAC;#B3556B
20047497;FC Golden State;United States;20031800;#D1C8B3;#B0AA9E
1300491;Central Coast Mariners;Australia;129985;#4C7193;#2E60A2
695;Oxford;United Kingdom;13;#EEEB17;#9BA15D
298;Beerschot VA;Belgium;2;#613487;#56287B
24011352;Urania;Croatia;129756;#D75B2A;#EEA159
37018575;IFC;Netherlands;862769;#E36457;#E6E7E8
14064721;San Lorenzo (Alem);Argentina;14037261;#A09DAE;#DAD9D9
1037;Heracles Almelo;Netherlands;29;#55636A;#9FA5A9
1300271;Deryneia;Cyprus;692431;#275F5D;#98B3B3
129201;VIFK;Finland;33000120;#F5EEE1;#1F254B
108526;Defensa y Justicia;Argentina;102421;#26AB90;#EEF31D
27019958;ASPIRE;Qatar;1;#557395;#76899D
98043499;Porto Lausanne;Switzerland;137891;#21579D;#ECEB59
20045162;Naples United;United States;20031798;#9CCBDE;#61ADD3
7452155;La Solana;Spain;67023627;#D9D821;#AB9D96
650;Everton;United Kingdom;11;#546DAA;#98A8CE
4200576;Conquense;Spain;67023627;#E4E4E7;#585859
120936;Envigado F.C.;Colombia;5260948;#FC9F60;#EBCFA0
108574;Chaco For Ever;Argentina;108509;#4E4D4F;#EDEDED
19189823;São Gonçalo EC (RJ);Brazil;19102111;#6598D1;#92B1D5
5110769;AFC Wimbledon;United Kingdom;13;#F9F9F9;#091114
816;HJK;Finland;129120;#9CAAD6;#556DB5
107206;ATP;Brazil;102423;#5E5F5D;#9C9596
477432;Salyut;Russia;130489;#8B072C;#72000D
3101514;San Telmo;Argentina;108508;#25265E;#1FA6E2
86;Ferro;Argentina;102422;#F1F4F3;#636363
85060651;FC Gobelins Paris 13;France;914522;#E6EAE6;#A2A4A1
5280181;San Lorenzo (PAR);Paraguay;79010950;#F89BA8;#FAD7DC
35024601;Niendorfer TSV;Germany;35024475;#EBE8E9;#636364
130211;Green Gully;Australia;130188;#62A764;#1E8A24
14064676;Rioja Jrs;Argentina;14037261;#0234A5;#979B57
5103671;Taunton;United Kingdom;94048276;#542330;#683847
50041764;SAG Cestas;France;20;#E3EA2B;#E1E1E1
7920362;Al-Faisaly (KSA);Saudi Arabia;7920263;#D4999F;#D15A66
858;LOSC;France;16;#64669F;#908BB1
457419;Fethiyespor;Turkey;70043163;#AEB0D0;#E0DDE9
4102502;Paredes;Portugal;55065659;#B0AF99;#D2CEA8
945;Kaiserslautern;Germany;35010926;#DF5B5C;#C82B2A
20032874;Charlotte;United States;20033732;#1A2E4D;#E7CFA6
77005834;Ayacucho FC;Peru;5290551;#E9181B;#6D8E53
7506471;Arda;Bulgaria;7500000;#92B0D4;#B2C9E6
43106506;Calvina;Italy;1400403;#21D2F8;#5854A3
14189566;San Lorenzo (Rodeo);Argentina;14037263;#98A9D8;#F41217
136014;Querétaro;Mexico;135973;#F3F3F3;#959697
98010040;Diessenhofen;Switzerland;137891;#D9DCDA;#99A69E
2455;Mirandela;Portugal;55065643;#F3F3F3;#070808
188;Dessel;Belgium;8154824;#94B39F;#AEC6B7
137910;Lancy;Switzerland;5724964;#F2EC2A;#E6E6A2
130593;Irtysh Pavlodar;Kazakhstan;59007527;#AAA8CD;#6562A3
70101911;Yozgatspor 1959 FK;Turkey;70043164;#F01517;#060506
14064647;Almaceneros (Pringles);Argentina;14037263;#E0E7F5;#9CAFDA
1708;Barcelona;Spain;67;#A29528;#F3DD15
875;Angers SCO;France;16;#F8F8F8;#161110
301200;Uberlândia;Brazil;19102111;#5BCA96;#ABE2C9
7446450;La Roda;Spain;67023627;#E96167;#F70D0D
619;Bristol City;United Kingdom;12;#FA6063;#E4E4E4
51014509;Gavilanes;Mexico;51066838;#635428;#8E7227
1301559;Team Wellington;New Zealand;432262;#F6A90B;#080808
123005;Sydney Olympic FC;Australia;130185;#576C9D;#A3AFCB
129653;Trikala;Greece;690094;#A2ABD8;#EAA0A1
58141031;Khimik-2 Novomoskovsk;Russia;130494;#EA2824;#FC5453
1326;Haugesund;Norway;1300397;#C6D1DC;#6596C8
67035559;Azuqueca;Spain;67023627;#DDA520;#E0D760
98008531;Gland;Switzerland;137891;#114D9A;#E2CAB8
19296880;Igrejinha;Brazil;19102111;#A8D8EF;#17A4EE
2183;Albalonga;Italy;1400404;#5DA5FE;#B8D0EA
14037208;Sp. Peñarol (Chimbas);Argentina;108509;#1A20FC;#AEA5E3
14089905;Racing (Castex);Argentina;14037261;#A1A1A2;#F0F0F0
1571;Morton;United Kingdom;46;#A3D4E7;#DAE8ED
20500779;Royal Sélect Beauport;Canada;1301432;#5D5A59;#232322
1000546;Al-Sailiya;Qatar;5632126;#5969AF;#1E1C15
943;Mannheim;Germany;35010926;#95A2D3;#5A6FAE
98009950;Altdorf;Switzerland;137891;#E3E323;#9F9E2A
72000777;Serbian White Eagles;Canada;1900171;#61A8D4;#A2CEEB
653224;Krk;Croatia;129758;#689BE5;#A7A429
91165906;Meerbusch;Germany;91109041;#EDE223;#96B5CB
448;AEK Larnakas;Cyprus;692430;#E6EF1B;#A8CC26
1802;IF Elfsborg;Sweden;50;#5F5B13;#A39B20
14089828;Atl. Amalia (Tucumán);Argentina;14037263;#FA1B1E;#0B0707
24011289;Hajduk Pridraga;Croatia;24000270;#EE9F9C;#F0E9EC
130821;Diósgyor;Hungary;7520391;#EED99E;#E00B10
41051597;Madura United;Indonesia;41004312;#A81C0E;#DA1416
879677;Auerbach;Germany;91107110;#5F5B0F;#16160D
5385098;Pérez Zeledón;Costa Rica;80000563;#9B98AF;#A2A6CB
5290523;Unión Huaral;Peru;5290553;#E3E4E3;#A6A3A3
8708859;Delmenhorst;Germany;35102297;#F4F115;#1467AB
5635285;Sahab;Jordan;5635278;#545D5E;#9DA0A1
2103277;Boca Júnior (SE);Brazil;19102111;#99ABCA;#DCE1EA
24001857;HASK;Croatia;129759;#F59E62;#E71008
7862872;Nes Ziona;Israel;7860000;#E3E3E3;#A3A3A3
879516;Halle;Germany;35010926;#ED0A22;#FE2F4C
43048161;Il Cervo;Italy;43411793;#276852;#F5F7F6
59145772;Urartu Ye.;Armenia;59006196;#5F2D8E;#FA9615
20503610;CS Monteuil;Canada;20035150;#DE2A2C;#F5F5F5
82;Boca;Argentina;102421;#245597;#FCDE56
1413271;Este;Italy;1400402;#FC5355;#FEF15C
1749;Zaragoza;Spain;68;#E45E19;#A39A14
43269735;Nerostellati Pratola;Italy;43064519;#262625;#F8F8F8
455675;Amed Sportif;Turkey;463485;#236D08;#54A620
49043453;EA Saint-Renan;France;20;#FA96A2;#ECE8EA
19363426;Boston City (MG);Brazil;19102111;#1C1967;#322D8D
1102349;Brüttisellen-dietlikon;Switzerland;137891;#31D86B;#E4E3E3
43079093;Virtus Francavilla;Italy;43127174;#51E7FD;#31CBFB
43210768;Turris;Italy;1400406;#E02D2F;#E2E3E3
2413;Montalegre;Portugal;55065643;#A3A05F;#9EA0A2
38013493;Budafok;Hungary;152045;#F86268;#DFB466
67023712;Pozuelo;Spain;67023616;#E96060;#D6AB9E
135427;Al-Ettifaq;Saudi Arabia;7920263;#6E9C90;#DDA49E
1590;Queen of Sth;United Kingdom;46;#AFB4CA;#E2E2E2
653172;DOSK;Croatia;24000272;#1A5BA0;#CCD1D4
814104;Bembibre;Spain;67023617;#EFD9DD;#A6A6A7
67152828;U. Murcia;Spain;72;#1D559F;#012C93
814065;Llanes;Spain;67023611;#F01419;#0AEC2A
3400446;Þróttur R.;Iceland;7840133;#9D9F9F;#666667
106756;Al-Ahly;Egypt;12015393;#F6212D;#EBEBEE
309142;Inter de Lages;Brazil;19102111;#EEA49D;#F86254
50048499;Marignane Gignac FC;France;914524;#FA9CA4;#F7E959
617;Brentford;United Kingdom;12;#D11A1B;#DF5B5D
694;Oldham;United Kingdom;14;#1758AD;#013191
955208;Dep. Paraguayo;Argentina;14037262;#F6F5F5;#A29FA2
2085;FC Villefranche;France;18;#97A9DA;#566CB4
129840;Buje;Croatia;24000275;#DCD7AA;#0F150D
684777;Ergotelis;Greece;129651;#FCF81A;#080807
130848;Juventud de Las Piedras;Uruguay;5512770;#265A91;#EFF2F4
109009;Gernika;Spain;67023613;#999462;#D8DBAD
8162193;Biesheim ASC;France;50046772;#959DB2;#A4B0C9
137959;TSV Hartberg;Austria;136543;#A2D7F0;#E4EEF3
7446407;Calasparra;Spain;67101213;#9F140C;#A2A3A3
85054828;USS Aigues-Mortes;France;50048443;#9A9DAF;#6B708D
639;Coventry;United Kingdom;13;#ADA8A1;#D3D5D6
58151665;Olimp Khimki;Russia;130488;#169FF9;#E9EDEC
1596;St. Johnstone;United Kingdom;45;#A39669;#A8A69E
843;FC Martigues;France;914524;#FCFA63;#FD1114
17000059;Minsk;Belarus;7483354;#AAADCA;#A19FA8
43076623;Chions;Italy;1400402;#FDEE14;#2E6BB5
102466;San Martín (Tucumán);Argentina;102422;#FAA7A6;#FA615F
7880052;Dibba Al-Fujairah;United Arab Emirates;7880028;#169CE9;#5EAAD4
2005;FC Lorient;France;17;#DF6D2A;#666263
61;KF Tirana;Albania;8350942;#26FCFE;#062B5F
40026653;Mumbai;India;1;#A5AFCA;#E1E2E6
51008744;Alebrijes;Mexico;135974;#ECEAEA;#231F21
2251;Oberhausen;Germany;35010927;#F7A8A9;#E2E3E3
2199;Frosinone;Italy;33;#0B50A1;#D8E2F0
3101498;Argentino (Rosario);Argentina;14037262;#A5ADD0;#E0E3EF
14031508;Gutiérrez SC;Argentina;14037261;#1A9FDA;#A1DCF3
23078006;Pattani;Thailand;23388436;#656024;#9F9C26
352;Lokomotiv Sofia;Bulgaria;7500118;#F2475E;#FAFAFA
102;Pyunik;Armenia;59006196;#EE98A6;#9C90AF
67128769;Llanera;Spain;67023611;#091DE1;#0F1BAB
200373;Seongnam;South Korea;136407;#0A1D26;#F5F5F4
1471;Boavista;Portugal;60;#E5E7E1;#A0A6A9
98004836;Aegeri;Switzerland;98005772;#139DE0;#F2F3F4
20040608;Miami FC;United States;20031798;#9EA8EA;#1720A8
400984;Lyon-Duchère AS;France;18;#D1152B;#E35723
102924;Olimpia;Paraguay;79010950;#5D5D5E;#989898
23292170;SIPG;China;130931;#A1080C;#FCE218
35102296;Hollenbach;Germany;8700660;#646A96;#A09AB4
5724876;Langenthal;Switzerland;5724965;#DED857;#ADA95E
1259;León;Mexico;135973;#F7E227;#289159
137939;Freienbach;Switzerland;98005773;#EB0726;#F9F211
158;FC RB Salzburg;Austria;136543;#E91754;#D30130
24021049;Pakostane;Croatia;24000270;#179BDF;#59B3DB
1257;Monterrey;Mexico;135973;#152D4D;#010B29
445;Primorac;Croatia;24000274;#E0EEF6;#A0D5F2
1115;Carpi;Italy;43127173;#D90D2A;#F8F7F8
98005472;Versoix;Switzerland;137891;#94B1D6;#668ABB
86005819;Atlético Venezuela;Venezuela;86000001;#5F6EA3;#9EABCE
949;Saarbrücken;Germany;27;#5C5922;#65969C
494162;Aktobe;Kazakhstan;59007527;#ADCBE6;#DBE0E6
80000716;Guayaquil City;Ecuador;80000566;#A2D0E4;#748D98
67259097;Xerez Deportivo;Spain;67023619;#1E63A6;#669BCE
20040271;FC Wichita;United States;20031799;#265A92;#D51630
14123478;Lutgardis Riveros;Argentina;14037263;#F2F2F2;#0C0C0C
309633;ASSU;Brazil;19102111;#5B8E6E;#73A58A
70055754;Malatya Yesilyurt Bld.;Turkey;70043164;#F2D0A7;#99D6B1
70042974;Fatsa Bld.;Turkey;70043163;#FAF410;#F9F9F9
67243420;Huétor Vega;Spain;67023618;#509C4E;#E8E6E5
5430616;Scherpenheuvel;Curaçao;45082480;#F30425;#E1E2E2
14189555;Dep. Colonial (Ferré);Argentina;14037263;#FE1416;#F2A2A3
14093744;General Rojo;Argentina;14037263;#E9E8E8;#B3B3B3
106447;Gossau;Switzerland;5724966;#0650A3;#96B1D1
59006806;Alashkert;Armenia;59006196;#969767;#616250
5661074;At. San Luis;Mexico;135973;#9C9BAE;#E0E0E5
1124;Cosenza;Italy;33;#2F4D6B;#1B3859
844;FC Metz;France;16;#761215;#872328
138156;Cherno more;Bulgaria;7500000;#ACCAED;#96B1D9
109027;Melilla;Spain;69;#08206D;#5774A6
2404;Lusitânia Lourosa;Portugal;55065659;#645F27;#A39A20
319124;Barbalha;Brazil;19102111;#A8A9CD;#DED7A9
851546;Deltasport;Netherlands;37066042;#986F64;#A49896
485305;Suduva;Lithuania;2300046;#181313;#E3E4E4
20045171;FC Arizona;United States;20031800;#DA6659;#EFEBE8
80000653;Barrio México;Costa Rica;80000564;#E5A9A1;#E3D9DE
19342606;Olímpia (BA);Brazil;19102111;#58ADD8;#EEF2F3
107218;Juventus (SP);Brazil;19102111;#8B2D60;#AF668F
23260497;Lao Toyota;Laos;5634246;#E4CDA0;#9A9070
18040249;Bredene;Belgium;8154771;#9EADCC;#C8CFDD
661544;Slaven Gruda;Croatia;24000276;#EDE8A5;#F2ECEF
50041775;AS Erstein;France;20;#205899;#67A0E3
50077225;Vénissieux FC;France;20;#264C8F;#506B9F
106857;CS Sfax;Tunisia;12019164;#9A9A9B;#F1F1F1
4212290;Gijón Industrial;Spain;67023611;#B4A79A;#C9B4A3
98010030;Grandson Tuileries;Switzerland;137891;#22569C;#586876
82083072;América SD;Dominican Republic;82061071;#E4E4E4;#09090F
8700332;Amsdorf;Germany;8700660;#B2E3CD;#E3E2E2
3605862;Aschaffenburg;Germany;91107111;#93B0CF;#1F60A0
6706303;Alicante;Spain;67101199;#E0A5A9;#E0DBDF
24043109;Borac Imbriovec;Croatia;24000263;#218B5D;#EEE7EB
8162301;Olympique Grande-Synthe;France;50046773;#2090D2;#62AAD5
14064678;Resistencia Central;Argentina;14037261;#F89EA0;#EAACAD
1401311;Montebelluna;Italy;1400402;#B3C9EF;#EFF1F5
24016544;Sracinec;Croatia;24000262;#F75E64;#EB9A9E
14001429;Huracán (Ing. White);Argentina;14037263;#F79AA8;#EE5C70
138202;Nadur Y.;Malta;2300052;#AED091;#A4A8A1
8438823;FC Chauray;France;20;#5952A4;#383087
121188;Babelsberg;Germany;91107110;#9895AD;#6D688A
5624425;Qatar SC;Qatar;5632126;#A4966A;#684E2F
71100066;Dnipro-1;Ukraine;5314301;#A36B1A;#565B5B
20502614;Dynamo de Québec;Canada;20035150;#5367A0;#2A55A0
20041747;ASC San Diego;United States;20031800;#E5E5E8;#9B9CA0
98009926;Sarmenstorf;Switzerland;137891;#149DE3;#D4D7D9
96021840;Stomil;Poland;129559;#EFE1A4;#A1D0EF
85078772;Saint-Pierre de Milizac;France;20;#FDFD12;#2854F7
20502985;Forge FC;Canada;20502998;#5E6065;#96989B
80013398;Escazuceña;Costa Rica;80000564;#5DA1D1;#CDE2ED
1011;FC Volendam;Netherlands;30;#E09D58;#F78C24
4212397;Guadix;Spain;67246445;#FC6364;#F0DDD8
14093723;Progreso (Ros de la F);Argentina;14037263;#1F21F4;#F0F0F3
105187;Real España;Honduras;87000201;#655C14;#A29523
1301256;Karsiyaka;Turkey;70043163;#F01925;#F7959A
5340050;Käerjéng;Luxembourg;5340022;#EF595E;#EE2829
100885;Quick;Netherlands;37059993;#093065;#556E90
658354;Kurilovec;Croatia;129759;#ECE9D1;#D69D6C
1046;Vitesse;Netherlands;29;#F6D606;#5C5C5C
1413263;Narnese;Italy;43064544;#F8181F;#0D4EA0
980543;Real Salt Lake;United States;40;#144F99;#02358C
35117226;Eichstätt;Germany;91107111;#E15D5D;#E3E3E3
1644;Sundowns;South Africa;131234;#E0F217;#A3E450
58070511;Zenit-Izhevsk;Russia;8055759;#092050;#000330
5100047;Harrogate;United Kingdom;109201;#FAF126;#060607
2443;Casa Pia;Portugal;61;#111C2C;#243646
14064730;Náutico El Quillá;Argentina;14037263;#6B5B59;#A39167
102464;Gimnasia y Tiro;Argentina;14037261;#98DAF2;#10A9ED
5637854;Suphanburi;Thailand;5624920;#A35A5E;#DADCDE
8154758;Mouscron;Belgium;1;#EC172D;#EE959E
314297;América de Propriá;Brazil;19102111;#8ED4AB;#6CCB96
7446370;Almazán;Spain;67023617;#DA9C9E;#EEE2E1
984;Panionios;Greece;129650;#F21D21;#F5505B
19373913;Guaporé;Brazil;19102111;#FA9227;#E87507
14046696;Tiro Federal (BB);Argentina;14037263;#F8EE59;#A24C74
14093705;Independiente (Fontana);Argentina;14037263;#F91B1E;#EEEBEB
6600093;Oudenaarde;Belgium;18097860;#DADADB;#ACACAD
313224;Dom Bosco;Brazil;19102111;#A8ACD7;#CFD0E6
404;Universidad de Chile;Chile;5250792;#1A3890;#2F4DA6
26030981;Karmiotissa;Cyprus;692431;#DE6160;#E48F8F
1478;FCP;Portugal;60;#14639D;#DADFE3
116204;Pachuca;Mexico;135973;#A0A9CB;#E0E1EA
62176216;Rogaska;Slovenia;7580001;#9E9F9F;#DCDCDC
814909;Ejea;Spain;71;#63A0E2;#D6DAE3
7880311;Ajman;United Arab Emirates;7880000;#F5A955;#A1A1A2
5666505;Cancún;Mexico;51066839;#F81120;#116FB0
72000789;Toronto FC;Canada;40;#F83051;#E41634
14031205;Deportivo Madryn;Argentina;108509;#999521;#6F6A14
2318;Achilles Veen;Netherlands;862765;#65A65B;#A7D9A1
2081;Vannes OC;France;914522;#1A1A1B;#EFEFEF
19007826;Duque de Caxias;Brazil;19102111;#5D68A5;#96A0CF
16010542;FC Trofaiach;Austria;16036178;#F1A1A5;#E9DCDD
14123515;Atl. Campaña (ARG);Argentina;14037263;#FA9D9E;#FE090B
19139649;Aquidauanense;Brazil;19102111;#9C9AAC;#E7E4E8
51071410;Cañoneros Marina;Mexico;51066839;#2A2E61;#635D58
308279;Platense (HON);Honduras;87000201;#98C9B1;#70B296
1020;IJsselmeervogels;Netherlands;37059991;#F6E5E6;#E2E2E2
19227768;Audax (SP);Brazil;19102111;#F09C9E;#F06368
102470;Alte. Brown;Argentina;108508;#9B8F24;#F4DE2C
5100019;Blyth;United Kingdom;5123054;#64AD66;#93A694
137909;La Chaux-de-Fonds;Switzerland;5724964;#A8A16F;#ECE85F
5260325;Boyacá Chicó F.C.;Colombia;5260950;#9B6261;#9991AA
85;Estudiantes (LP);Argentina;102421;#030729;#0A2456
331;PAY;Brazil;107192;#1B1BA8;#6566CB
334;REM;Brazil;107192;#595E6B;#E2E2E3
791052;North Village Rams;Bermuda;82001154;#DD9F9E;#D16765
104979;Inter de Limeira;Brazil;19102111;#989899;#EAEAEA
1008;FC Lisse;Netherlands;37059992;#E3E3E2;#E0E1EC
120066;Jorge Wilstermann;Bolivia;86000000;#949FB0;#EAE9E8
722;Sunderland;United Kingdom;13;#E59DA1;#A06359
20047492;Milwaukee Torrent;United States;20031799;#E4E4E4;#9C9A99
20500266;Master's;Canada;20500261;#99AEC9;#E6E6EA
12010113;CR Al Hoceima;Morocco;12058772;#D3DDE9;#668CB5
67248721;San Francisco CD;Spain;67248626;#DF2F07;#EE571E
43018318;Notaresco;Italy;1400405;#D6D6EA;#5960A5
14064746;Sp. Barracas (Colón);Argentina;14037263;#FBEC58;#C72631
20041486;San Antonio;United States;20033731;#1C1419;#E6E9EC
8162194;Genêts Anglet;France;50046768;#A1D35A;#D4D71C
629;Chelmsford;United Kingdom;5123055;#670D27;#881837
888;VAFC;France;17;#E81723;#D8A1A4
309146;São Raimundo (RR);Brazil;19127222;#9AAAD0;#294CAD
85042138;Stade Poitevin FC;France;50046768;#22252A;#F1F0F0
7920365;Al-Fayha;Saudi Arabia;7920263;#A4D0E5;#9E9E9D
130524;Dinamo Bryansk;Russia;130489;#9B9CCF;#6769AF
7446432;Mutilvera;Spain;67023624;#FA211F;#2B4CAA
98059569;Neftenbach;Switzerland;137891;#2C9CCE;#F8F8F8
19400991;Itupiranga;Brazil;19102111;#F0181E;#0D591D
312326;Juventus Jaraguá;Brazil;19102111;#9A6663;#AC8C8C
3101448;Ben Hur;Argentina;14037261;#9DA6D0;#1E308D
14046695;Sp. Villa Cubas;Argentina;14037263;#FDEAEA;#FB9698
1867;Bursaspor;Turkey;463479;#9AD3B3;#219958
1454;LKS Lódz;Poland;129558;#E50F2A;#FA2A46
228;Deinze;Belgium;8154824;#F49E54;#0E0E0E
590;Cork City;Ireland;129372;#991C24;#131410
137906;Meyrin;Switzerland;5724964;#9A9C9B;#5F6565
622;Burnley;United Kingdom;11;#A3E8F3;#DAD566
107283;Sendai Lumiere FC;Japan;102428;#94A2D7;#676EAD
130870;Mariupol;Ukraine;5314301;#2F059C;#FBAD5B
14031198;Bella Vista (BB);Argentina;14037261;#71CD8C;#93D7A5
301321;Sergipe;Brazil;19127222;#F8A6A0;#E3D2D1
1569;Celtic;United Kingdom;45;#ABDCCA;#D8F0E8
129874;Junak;Croatia;129756;#5C5EAD;#A0A1D3
1028;PSV;Netherlands;29;#F31B25;#D2AB67
130790;Deportes Antofagasta;Chile;5250792;#1E1F5A;#358AD0
834852;Pro Favara;Italy;43064539;#FDF62F;#FAF558
5410637;Nafta;Slovenia;7580001;#9B9ED1;#2A2D93
36510164;Magpies;Gibraltar;36532636;#946164;#A7999A
